text,task,label
"My political candidate gives 10% of his income to the needy, goes to church every Sunday, and volunteers one day a week at a homeless shelter. Therefore, he is honest and morally straight.
Explanation: What information was left out of the example is that this same candidate gives 10% of his income to needy prostitutes in exchange for services, goes to the bar every Sunday after church (and sometimes before), and only works at the homeless shelter to get clients for his drug dealing business.",fallacy,intentional
"What you left out here was, there have been times the fireworks stands have *voluntarily* suspended their sales due to extreme fire danger.

I like to buy mine and put them up for winter festivities, myself. Pooch stays home then.",toxic,clean
I sponsored the new Buy American law,claim,misleading
The (federal) debt is growing by more than $4 billion a day.,claim,factual
The states that actually have lots of teachers in teacher unions tend to be the states that have done the best in terms of academic success in this country.,claim,opinion
"""The most evident mark of God's anger, and the most terrible castigation He can inflict upon the world, is manifest when He permits His people to fall into the hands of a clergy who are more in name than in deed, priests who practice the cruelty of ravening wolves rather than the charity and affection of devoted shepherds. 

""They abandon the things of God to devote themselves to the things of the world [vicars of U.N. agenda] and, in their saintly calling of holiness, they spend their time in profane and worldly pursuits [climate-change, global warming hoax]. When God permits such things, it is a very positive proof that He is thoroughly angry with His people and is visiting His most dreadful wrath upon them."" - Saint John Eudes",toxic,clean
"Trump is no champion of ""the people"". He is no leader, and we are about to witness a chaotic and dangerous descent into governmental and social chaos. Bring on the impeachment. We have a tax evader and a sociopathic, serial sexual predator inhabiting the White House. This cannot stand.",toxic,toxic
"And here we have our left wing circle jerk of the week. Couldn't prove collusion, couldn't prove obstruction, but there's always Trump's golf etiquette to complain about. 

Got issues?",toxic,toxic
"Did you see this? Evidently ADN missed it.

Hillary Clinton strategist Bob Beckel appeared on on Fox calling for the assassination of Julian Assange — a blatant urge for violence against the Wikileaks founder in direct contradiction of every possible natural and government law.

Wikileaks, of course, has published several damning caches of documents showing Clinton in none-too-favorable light — including emails from her controversially-employed private server as well as communications from the DNC which proved her campaign colluded with mainstream media.

“I mean, a dead man can’t leak stuff,” Beckel chillingly noted of Assange. “The guy’s a traitor, a treasonist, and … and he has broken every law in the United States. The guy ought to be — and I’m not for the death penalty — so, if I’m not for the death penalty, there’s only one way to do it, illegally shoot the son of a bitch.”",toxic,toxic
"Let's all take a moment of silence in remembrance for the victims of 911.  May acts of terrorism of this magnitude never happen again.  Thank you to all those that work in the law enforcement agencies that serve to protect us 24/7 363 days of the year.  God bless America.  If that is politically incorrect for you, well tough noughies.",toxic,clean
78702 is the second-most gentrified ZIP code in the entire country.,claim,misleading
"Al Gore , set out to paddle a kayak to the North Pole – only to have to abort his trip after a few days because “ the ice was too thick ” . In 2009 , the three-man Caitlin expedition , sponsored by a “ climate risk ” insurance company , and backed by the BBC and the Prince of Wales , set out to walk to the North Pole . Their intention was to measure the thickness of the vanishing ice with an electronic instrument , but it froze so hard that they had to resort to a tape measure . Again , after a few weeks , they had to be airlifted back to a rescue ship because the constantly shifting ice was “ too thick ” .",fallacy,intentional
"You can't change the facts of the lawsuit with your rhetoric.  

 Affirmative action to get more blacks was what the University of Texas Austin did and that was what her lawsuit was about.",toxic,clean
Judges do a lot of work outside of court. It is entirely wrong to assume that court hours equal judges' work hours.,toxic,clean
"""...By your measure, NO politician who was in the House or Senate could run, except for I think Bernie Sanders and Ron Paul, I think they were the only 2 to vote against the AUMF....""

Bull.  133 Representatives voted against it, and 23 Senators voted against it.  Clinton proved she didn't have any capability to either see through the garbage (Desert Storm was proof of the ineptness of Iraq's military), or she's part of the war machine.  Had Sanders ran, I might have voted for him.  Johnson was vocally against the Iraq Invasion, even though he didn't have to vote on it.

She was solid in policy and position during the campaign?  Um, ok.  Big deal.  So, she's a good politician.  She was a flip flop throughout her career.  She wasn't a good candidate for President.

Trump's a train wreck, no doubt.  I was hoping that would expose itself and he'd get nothing done...because a politician like Hillary can get things through and lead you into more train wrecks like Iraq.",toxic,clean
"When will our country come to its senses, and outlaw both boxing and American style football?   Both sports are far too violent, and cause serious injuries to their participants that ruin their lives.   Lyerla may have suffered brain trauma during his career, that has now affected his rational thinking.    Pain caused by his football injuries could also help explain his heroin addiction.

Honestly, there is no good reason whatsoever for these brutal and violent sports to exist.   They are inhuman, immoral, and an affront to God.  People can watch basketball, soccer, and baseball instead.

The University needs to shutdown the school's football program.   It is the right thing to do.",toxic,clean
"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",fallacy,false dilemma
"Wrong you idiots..
We must unite for peace.
.Leave North Korea alone
Stop baiting them",toxic,toxic
"This change is long, long, long overdue. It's time we all paid the same tax rates and got the same deductions on money earned. It is not like these family corporations will be treated any differently then the rest of us in T4 nation under these changes..",toxic,clean
"""How could you not believe in ghosts? Roughly two billon people believe in them, so don't you think you should reconsider your opinion?""",fallacy,ad populum
A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.,fallacy,fallacy of credibility
People like you should be permanently banned from Earth.,toxic,toxic
If Kaiser had a winning team the parents wouldn't act so ghetto.,toxic,clean
"Marco Rubio wants to raise the Social Security retirement age, and cut benefits.",claim,opinion
Californias credit rating is the worst in the country.,claim,factual
Denver Post is just a local advertising outlet for WaPo these days it seems.,toxic,clean
"I saw nothing wrong, with what he had to say.

Sheltering-in-place, is the only option in Hawaii.

We have no place to run, like on the mainland USA.

Pearl Harbor, stores our Nuclear Weapons.

Pearl Harbor, has the Pacific Fleet.

We have no where to run and no where to hide.

We will have minutes, to shelter-in-place, wherever we may be.

The US Navy at Pearl Harbor, will attempt to drag race their ships, into the open ocean.

The US Air Force in Hawaii, will be testing how fast they can get all of their aircraft, off of the ground into the wide blue yonder.

The US Army and the US Marine Corp, will have to set new records, with ditch digging to the other end of the earth.",toxic,clean
"Due to the war in Iraq, 4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome.",claim,opinion
Says Donald Trump supported impeachment of President (George W.) Bush.,claim,factual
"You are correct to as point.  It is also the celebrities themselves, they are the group you mention...",toxic,clean
"We've run out of bananas, so are we now in a Manana Republic?",toxic,clean
"It ’ s the return of left-leaning scientists ’ famous nemesis , “ Reality. ”",fallacy,ad hominem
"For more than 80 years, there has not been a nomination and confirmation of a Supreme Court Justice in a presidential election year. This is simply not the time to break with decades of bipartisan practice.",claim,opinion
"Well let's start with the payroll will open up 13 million next season when we CUT THOMAS. So that's good. Trevor still has bad vision, people blame the O-Line for lmao. The Defense is by far HANDS DOWN the BEST  in Football... So we got that going for us Gung-Ga-lung-A Lot's of knelling still left in the season, I mean playing. GO BRONCOS",toxic,clean
Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews,fallacy,false causality
Powerful Houston Democrats Sylvia Garcia (Democrat county commissioner in Harris County) and Elyse Lanie(r) (wife of the former liberal Democrat mayor Bob Lanier) sponsored a Democrat fundraiser for Speaker (Joe) Straus with numerous Democrat officials and high-ranking union officials.,claim,misleading
"Thank you, Rui. An important article.

When it comes to prisoners, secrecy doesn't see right. If it were okay, the government could hide people for years without outside knowledge. Full disclosure should be the rule, I think. Oh! And, there should be no private prisons. That just is not right, either.",toxic,clean
Right on Smokin' Joe very true .,toxic,clean
Texas legislation would allow teachers to kill their students if they felt it was needed.,claim,opinion
The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,claim,misleading
compared to liberal voters in canada they are geniuses.,toxic,clean
Says Harry Reid has a better voting attendance record than these three Congressmen!,claim,factual
"Ahhh....but I have.  I have never, ever called anyone ignorant.  There were - are - times of course I'd like to...even now is a challenge - but I do not.  

Uninformed?  yes.  Misinformed?  yes.  But ignorant?  No.  The connotation is just too insulting, despite what the actual word may mean.

And you are wrong - again - and as usual.  My momma did say that - a woman of great dignity and class. She had an innate sense of the dignity and worth of all people...she would have even found something positive to say about you, if pushed.",toxic,clean
Lahat nakamove-on na ikaw na lang hindi pa. #MarcosIsAHero,fallacy,ad populum
"Advocates for a tight virus response say ""we need to limit the spread."" What they're really saying is we need to shut down everything forever, leading to massive economic damage.",fallacy,fallacy of extension
Yhat new employment pilot program has a glaring error it is not a double blind test. One grouo knows names the other doesn't! Where is the control group? At the very least there ahould be a third group hiring randomly....ergo the results if the nameless hiring process will be hard to draw unbiased conclusions from.,toxic,clean
"Of hospitals in Rick Scotts Columbia/HCA health care company, ""A top executive said they even turned away a poor man and left him to die outside their door.""",claim,misleading
"My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.",claim,factual
One of the biggest causes of our soaring debt and economic insecurity ends up being Pentagon spending. The budget for the Pentagon consumes more than half of our discretionary spending.,claim,factual
"Who made Jeffrey, Lord to begin with?

 Is he a Barathian?


“Sieg verrückt”",toxic,clean
"Why , between 2009 and 2014 , did Defra spend a whopping £12.5 million on an ocean acidification research programme when the issue could have been resolved , for next to nothing , after a few hours ’ basic research ?",fallacy,fallacy of extension
A 5-cent charge on paper bags is a tax.,claim,misleading
"Her acceptance of their corruption enables their corruption.

I reject the notion that the legislature has an inability to make those cuts.

We must demand they make the cuts, not accept that they are corrupt bastards and give them our money.

They put their foot down, WE WANT our per diem and our subsidized food and all of our perks.

They refuse to make oil companies pay for our resources so Alaskans have to pay up.

Too damn bad!

We need to say NO, WE WANT our PFDs and we're not paying an income tax.

They need to follow the Constitution and Figure out a way to get a fair share of the $9 billion of our oil taken off the slope every year.

THAT is their job.  

They are not there to make sure oil companies make enough profit, or provide a lifestyle for the legislature to ensure they are comfortable, well fed and have free vacations.",toxic,clean
“Harold’s new book is well-written because Harold is a wonderful writer.”,fallacy,circular reasoning
"Feminism is part of “a socialist, anti-family political movement that encourages women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians.” (Statement from Pat Robertson)",fallacy,fallacy of extension
"Karen: I am sorry, but if you think man used to ride dinosaurs, then you are obviously not very well educated.
Kent:  First of all, I hold a PhD in creation science, so I am well-educated.  Second of all, your ad hominem attack shows that you are wrong, and man did use to ride dinosaurs.
Karen:  Getting your PhD in a couple of months, from a “college” in a trailer park, is not being well-educated.  My fallacy in no way is evidence for man riding on dinosaurs, and despite what you may think, the Flintstone’s was not a documentary!
",fallacy,fallacy of logic
"More guns would have prevented this.
I got a farm in Cuba I""d like to sell....too.",toxic,clean
You should fly an American flag off your front porch. It’s the patriotic thing to do.,fallacy,ad populum
"Keolu is just so wrong... everyone does win when they participate in sports and try their best. 

He should not be allowed to coach kids sports... 

This is the way life works out. We dont always get what we want but we should NOT say that teaching kids to try their best makes them expect to win every time they try. Yes they will feel disappointed but real life is overcoming disappointment and winning in the long run.

If they respect others, play fair and not cheat, and try their best, they will have no regrets and cannot be losers because they have never lost. They will keep trying until they succeed. It's called ""win some, lose some"".",toxic,clean
Members of Congress receive full pay retirement after serving one term.,claim,misleading
actually those are continents composed of many varying countries.,toxic,clean
They're both white so why isn't ADN plastering their photos everywhere?,toxic,clean
"I certainly emphasize with your reader that sent this email and would say that my wife and I are in a similar situation.  I have been doing the bulk of our financial planning and investing for the past 20 years and now that we are retiring, one day I am worried about how to most efficiently draw from our investments and having resources to last us into our 90's to the next when I worry about staying out of OAS claw back territory.  

One resource that I have found very informative and I have used it to guide my strategy over the last several years is ""Your Retirement Income Blueprint"" by Daryl Diamond.  Mr. Diamond is a Canadian financial advisor that specializes in the process of drawing retirement income from your investments.  This book is well worth the cost.",toxic,clean
"Vice President Joe Biden's meeting ""with the transparency and accountability board . . . was closed to the public.""",claim,misleading
"“[Everyone else is buying it, so you should too!]”",fallacy,ad populum
The Social Security disability fund is going belly up in 2016.,claim,factual
"It ’ s a big problem , he says , when models can ’ t retroactively “ predict ” events that have already happened .",fallacy,intentional
The word “ denier ” is of course meant to associate skeptics of climate alarmism with Holocaust deniers .,fallacy,fallacy of extension
"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal'",fallacy,ad hominem
"My opponent raises a good point, but can we really trust him? I mean he moved to this town only two years ago and everyone knows that his wife left him.",fallacy,ad hominem
"""Passed in our passports and am so happy I did""

So are we!",toxic,clean
Wow. Drama queen.,toxic,clean
Yet another Trumpublican fail.  More to come.,toxic,clean
"""simply confirmed her right as a citizen to speak out against behaviour she deplored ""
As long as it supports the liberal agenda, I'd say.
I wish this Hollywood totalitarian 'celebrities' would stick to entertaining the crowd that feeds their over rated egos. We don't really need to know what their position on the political spectrum is, any more than, learning the details of  venereal deceases many of them spread around ,product of their choice of  lifestyle. Keep it to yourself  Meryl.",toxic,clean
"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment.",claim,opinion
"""That will be determined by the electorate during the next election, not your speculation"" 

... wrote moon howler, minutes after speculating on what the ""vast majority of Canadians profoundly disagree with, and will not forget.""",toxic,clean
“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,fallacy,faulty generalization
https://soundcloud.com/anglercody/city-in-ashes-inside-out,toxic,clean
"Yes, the fact Trump has not put his wealth into a blind trust and that he promised to disclose his taxes then didn't is all I need to say Trump is not fit to be the President!

Trust Records Show Trump Is Still Closely Tied to His Empire - 
https://www.nytimes.com/2017/02/03/us/politics/donald-trump-business.html?_r=0

What is most distribing with Trump and his gang is they have demostrated no understanding of how  governments function in procedure and the separation of legal from state based upon their founding documents. Trump doesn't realized that he is only the Commander in Chief as far as his actions do not conflict with the law and especially the Consitution.

The Constitution is the supreme law of the land in the United States. - 
https://www.whitehouse.gov/1600/constitution",toxic,clean
"The Republicans' alternative health care plan ""will still let insurers raise premiums four times faster than wages.""",claim,misleading
"So, before this article came out, people commenting wanted the driver imprisoned for life before they got facts.  Anyone going to say ""oops my crystal meth ball was wrong?""",toxic,clean
The overwhelming number of school districts reported their staff stayed the same or grew after the 2011-13 state budget,claim,misleading
"Globe & Mail Editorial:

Why is G + M not reporting that BC has strict, legislatively-imposed limits on spending by individual political parties during provincial elections?

Section 198 of BC's Election Act is unequivocal:
http://www.bclaws.ca/Recon/document/ID/freeside/96106_00 - 

""198) Election expenses limit for registered political parties

""(1) In respect of a general election, the total value of election expenses incurred by a registered political party during the campaign period must not exceed $4.4 million...""

Establishing a system of state-funding for political parties would be an outrage!: 

It would be blatantly un-constitutional for taxpayers to be, in effect, ""forced"" to pay for the administrative operations of a political party (during & outside of elections) that advocates/promotes views that violate taxpayers' consciences & or beliefs.

Corporations are the prime generators of wealth & positive progress.

Their donations to political parties should not be prohibited!",toxic,clean
"Under Barack Obama's health care proposal, ""if you've got a health care plan that you like, you can keep it.""",claim,factual
"I want Alaskans that base thier businesses, employees, and taxes in Alaska to succeed. 

This guy does not.

https://m.youtube.com/watch?v=TTqR47Z8Gqg",toxic,clean
"I am going to bed or watching TV.  I am exhausted, so I will go to bed; therefore, I cannot watch TV.",fallacy,fallacy of logic
"Charlie Crist was the only prominent Republican in the country to campaign with Barack Obama before the stimulus passed, on behalf of the stimulus.",claim,opinion
"Under Hillary Clinton, State Department officials were sending official thank-yous to people who gave to the Clinton Foundation.",claim,misleading
It is functionally impossible to repair a corrupted system from within the framework of corruption. The corrupt system will sabotage all efforts. Discussion of such efforts is implicitly non-credible and a complete waste of time and energy.,toxic,clean
"Meanwhile , Chapman University has released a survey of the top ten issues Americans fear the most . Guess what ? Climate change didn ’ t make the list .",fallacy,fallacy of credibility
A legacy of taxing and borrowing crippled the economy we inherited two years ago.,claim,misleading
Exactly.  It's so easy to be an arm chair QB when so many of them will never have to find out what they would really do.,toxic,clean
"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",claim,misleading
"""They entered the cage as mortal enemies, but stripped of their clothes, they saw each other as misunderstood leaders--alone, hurting, and in need of love and a tender touch.""",toxic,clean
25% of human trafficking victims are located in Texas.,claim,misleading
Bingo,toxic,clean
"You don ’ t worry much about dengue or malaria if you are living in Maine or France . But as the tropics creep northward and mosquitoes migrate with them , you will .",fallacy,appeal to emotion
"Looks like rebels are getting desperate in a war they are slowly loosing. Assad is slowly winning and his position looks assured - clearly it would be strange for him to ""modify"" that state. Thus, logical conclusion is that this is rebels gassing their own to blame Assad so that maybe someone like US would act.",toxic,clean
"If Shapiro is looking for an omen, there it is, and not a good one, even their young stud closer is being affected by the loser mentality, it's like dengue fever, you'll get it if you're in the vicinity. Keep the younger players away from  the overpaid, underperforming older guys, exclude Smoak, this ship is sinking fast, get the kids in a life boat, throw a rope to the rest, both ends. What a drag the rest of the season's going to be, guys trying to pad their numbers, me, me, me. Oh, and the captain goes down with the ship.",toxic,clean
"The ""Becca Bill"", passed in 1995, envisioned “crisis residential centers"" (CRC) as a means of dealing with chronic runaways and other non-criminal offenders. Over 20 years later, CRCs have not been built in useful numbers.
This has created a dilemma for juvenile court judges: let children run free on the streets or use juvenile detention  as a CRC. Judges have chosen the lesser of two evils and opted for keeping children safe from the predators that stalk runaways and street kids.
No, it's not optimum but it may be the best we can for with what we've got, at this time.
Unquestionably, we need to do better. Will this lawsuit help us do that?",toxic,clean
"I did not make a claim about the businesses mentioned, you did.",toxic,clean
"The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.",claim,factual
Career ending....insurance claim!,toxic,clean
"Don: If you drink alcohol, it will kill any virus you might have.
Tony: What evidence do you have to support that? 
Don: I don’t need evidence. It is common sense.
",fallacy,intentional
A lot of student loans are already refinanced by the federal government.,claim,misleading
"I want to go just to ask the board the question,"" Why do you now call yourselves Nonpartisans, instead of Democrats? Are you ashamed, or could it be you're renouncing the party? Any comment at all? I'd appreciate an answer, so I don't have to get up out of my easy chair.",toxic,clean
"Mr. Koonin ’ s science credentials are impeccable—unlike , say , those of one well-known Swedish teenager to whom the media affords great attention on climate matters .",fallacy,fallacy of credibility
"You never even finished law school, so why should I trust you to watch my children?",fallacy,ad hominem
I think you pulled  these garbage lies out of your butt..,toxic,toxic
"All Jim Carrey movies are hilarious.
No horror movies are Jim Carrey movies.
Therefore, no horror movies are hilarious.",fallacy,fallacy of logic
How do you now that?,toxic,clean
"The officer told me to freeze but it was too hot out to be freezing, so I was justified in running away.",fallacy,equivocation
"As a Member of Congress, Chris Murphy was raking in $1 million in salary.",claim,misleading
Sorry Art.  If you're a 3rd mate you're in position to work at getting your license. 3rds are never left in charge on a tight ship.  They may take the wheel - with the Capt standing by in the wheel house to supervise [and catch mistakes],toxic,clean
San Antonio is now the largest city in the United States ever to have an African American woman mayor.,claim,factual
"A great deal depends on perspective.  Analysts in 2016 predicted the de  facto demise of Obamacare because it was failing to attract the numbers of young, healthy people required in many markets:  Its easy to sign up lots of people who are old or who have conditions that are expensive to care for.  Not so easy to sign up a large enough group to make it profitable to care for the added costs the new care requires.  Clearly every single promise made (that average cost would decline, that what is covered would not decline, and even you could 'keep your own doctor') turned out to be false on average.  People upset about that are ignoring the fiscal facts on the ground and pretending they would not have mattered no matter who won or list the election?  It is NOT radical to repeal Obamacare.  Similarly - DeVos SHOULD BE yet another example of a woman getting an important job in this ""year of the woman"" (in a sense different than Democrats hoped for) - a woman of accomplishment.  Confirm her!",toxic,clean
"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.",claim,factual
"If we let your brother stay, we’ll have to let your whole family stay.",fallacy,faulty generalization
"If you want to kill someone, use a car.  The penalties for killing someone, even when at fault, are laughable.",toxic,toxic
I am only slightly obese.  That is perfectly normal here in America.,fallacy,intentional
"“ The more we learn , the more fragile the Earth system seems to be and the faster we need to move , ” he said . “",fallacy,fallacy of logic
"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.",claim,misleading
There are polls showing right now that the American people for the most part think its a bad idea to provide tax cuts to the wealthy.,claim,factual
How is this in Canada's interest?,toxic,clean
Some speculate that the elevated level of strife across the Middle East over the past generation reflects the pressures of global warming — a hypothesis all the more cruel considering that warming began accelerating when the industrialized world extracted and then burned the region ’ s oil .,fallacy,fallacy of credibility
The Paris Agreement is by far the largest number of countries ever to sign an international agreement on a single day.,claim,factual
"""Good source of Vitamin D""...*doesn't mention the terrible amounts of sugar.",fallacy,intentional
the following is an example of...,fallacy,faulty generalization
"Keep fighting the good fight for us, Natalie...I'd vote for you regardless of your affiliation...

Is there any chance of some sort of volunteer group of forensic accountants to really tear HART and the part-time mayor a new ...hole???",toxic,clean
"X has been around for years now.
Y is new.
Therefore, Y is better than X.",fallacy,fallacy of credibility
"My comment is based on fact. A vast majority of the natives in the villages are on Lifetime Welfare. Look it up, it is a fact. It does not get any better then the facts. Do you deny that over half the native population in the villages are on welfare as well as other handouts?
Also the ""predominant racial demographic"" is not native. ADN had an article about the blood quantum in over half was less then half native blood. The dominate blood in over half, I believe it was two thirds, of the natives is not native blood but non native blood, just another fact for ya.
 Another question for you then. If you have 1/3 White or Caucasian blood and 2/3 Black or African blood what is your dominate race? Very simple question. I know you will not answer already and will deflect it. Facts are facts Olrun.
But then again, in your defence, due to the liberals if you are born a male with all the parts but ""feel"" like a female you can be a female. I guess if you want to ""feel"" like a native you can.",toxic,clean
One out of every three students currently today is ready for college before they go there.,claim,misleading
"Yes, vote Libertarian!",toxic,clean
"According to the Congressional Budget Office, as many as 20 million Americans could lose their employer-based insurance thanks to Obamacare.",claim,opinion
"Ohio Republicans made significant gains during [Chris McNultys] time at the ORP, including the extremely successful re-election of President Bush in Ohio.",claim,factual
I am looking forward to having the Navy here.Port Angeles is dying a slow painful death and the economic boost will hopefully spur some growth in local business.,toxic,clean
"I am neither disappointed, nor surprised at Pope FRancis. I am disappointed at progressive priests and lay Catholics who do not protest, using the ample doctricnal arguments in favor of women's ordination. It is high time we do.",toxic,clean
"The First doesn't just protect free speech. It also includes a prohibition on the establishment of a state religion; it prohibits the free  exercise of religion; provides for the right of people to petition their government; AND the right to peaceably assemble. 

It's hard to use your right to assemble alone.",toxic,clean
"Since when have lawyers ever acted ethically. As long as they are making money, anything goes. We didn't expect any different.",toxic,clean
"Amendment 2 will put almost 2,000 pot shops in Florida ... more pot shops than Walmart and Walgreens combined.",claim,opinion
"At a party you overhear a friend tell her spouse, “I had high blood pressure at the doctor’s office today; I really need to reduce the stress in my job.”",fallacy,faulty generalization
"Trump Has No Good Reason to Scrap the Iran Deal
The reasons his administration has put forth are dishonest, as to be expected,
…and, most importantly, will make us less secure.
The International Atomic Energy Agency, which the deal gave extensive rights to inspect Iran’s facilities, has concluded repeatedly that the Iranians are in compliance.
Gen. Joseph Dunford, the chairman of the Joint Chiefs of Staff said Iran is not in breach of the agreement.
Even Secretary of State Rex Tillerson said Iran is in compliance with the agreement.
No one says Iran is not in compliance, but Trump, not one of our allies, no one.
No one but Trump.
Trump says Iran is not in compliance because a treaty that works was put forth under a black president.
That's the only reason Trump will heedlessly take a flyer at destabilizing the Middle East.
The US foreign policy is now subject to Trump's racism and mental imbalance.
Shame on Trump and shame on those who voted for him.",toxic,clean
Didnt APU used to have one of these?,toxic,clean
Compared to where-the north of India?,toxic,clean
"She was a lovely woman - always smiling and so happy in her job. This is almost impossible to believe. Rest in peace, dear lady.",toxic,clean
Come November 9th this sad excuse for an election will be over.  But will the hate in the country continue?  It'll be up to all of us to rebuild the bridges because we sure as hell can't hope that the politicians will do it for us.,toxic,clean
"Well Glenda, I see you have drunk the spiked Republican kool-aid....the problem is not the spending that you call reckless, rather the fact that the Republicans have turned Alaska into the ""company store"" of which that popular song refers to. Alaskans now are in the pockets or should I say slave pens of Big Oil and they ain't letting us go. We have given everything to big oil and now the masters want even more...but keep believing that it is the Natives and the Unions that are the cause and problem.....cause maybe you will just pack up and leave so the real Alaskans can get down to brass tacks and fix this mess you and your ilk have foisted on us.",toxic,clean
"The radiation coming from the new TSA body scanners is equivalent to about three minutes worth of air travel by anybody, say, at 30,000 feet.",claim,factual
You are either a leader or a follower.,fallacy,false dilemma
"my 1st pair of shoes came when i went to intermediate school......... elementary time was all  ""hadashi""",toxic,clean
"You have advocated the use of nuclear weapons in warfare. ""Collateral damage"" would be inescapable. Even a small nuc causes damage over a large area. And, of course, there's fallout and radiation. 

Are you really trying to excuse the use of nuclear weapons with ""only a few thousand will be killed, not millions?",toxic,clean
"Jimmy stole Tommy’s lunch in the past.

Therefore, it is acceptable for Tommy to steal Jimmy’s lunch today.

",fallacy,fallacy of relevance
"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",fallacy,fallacy of logic
"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy,fallacy of extension
Can't you infer that from the frustration of Representative Josephson's commentary? And does it matter since what he wrote in this article is the truth? It would be wonderful if a Republican could be this critical of his parties fealty to caucus over state interest but I don't foresee that happening do you?,toxic,clean
"A lot of these young people were just dumped in the U.S. because so-called immigration advocates were telling the alien parents that the U.S. would never deport them. Why should we protect them.  We need to restrict immigration to only those that will be positive assets to our country, i.e. skilled labor, education, or intelligent based on tests.  No more refugees, illegals, etc.",toxic,clean
"Mk_Ultra_Again

left wing extremism is communism. Canada has a communist party that run in every election but so far none has achieved a seat. Nor do they, even in the US, arm themselves with semi automatic weapons to go to a peaceful demonstration. 

45,000 Canadian young men and women lost their lives 75 years ago to overcome the Nazis in Europe. Nazism was evil then as it is now.

Your comments are disgusting and insulting to every canadoian family who lost relatives to war.

The left never resorted to terrorists tactics by driving in to a crowd of people killing one and maaiming others.",toxic,toxic
"I'm glad this guy is ok but come on. 
He claims he was hyper sensitive to the many bear attacks this summer yet himself didn't bother to have his own bear spray. 

Then there's the guy in Hope who's defense was to climb a tree? Wow yeah because bears can't climb trees 😳",toxic,clean
"This definition seems even more dated than 50 yrs.  There are tons of wealthy people that ""work with their hands"".  And, have you seen what doctors make?  I know a few upper middle class plumbers.  This makes almost no sense.",toxic,clean
"Thanks, Linda, as Roy said, this is more common than many believe.",toxic,clean
You can keep your doctor........your premiums will decrease $2500/yr......we have to pass the bill for figure out what is in it.........looks like ACA/OBUMMER care has turned out to be a huge success!!!! Way to go Democrats!!,toxic,clean
There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!,fallacy,fallacy of relevance
I was the first member of Congress to call him (Barack Obama) a socialist...,claim,misleading
"My opponent is an untrustworthy liar and an idiot. Therefore, you should believe me.",fallacy,ad hominem
The U.S. gun homicide rate is 20 times the combined rate of other western nations.,claim,factual
More race based decisions by the Liberals,toxic,clean
"Trump just re-tweeted an image of a CNN journalist being killed, run over by a train 3 days after a woman was killed, run over by a car.",toxic,clean
"Underlying causes of homelessness are, besides the obvious inadequate fiscal resources: 
1. Mental Disease
2. Drug addiction
3. Alcohol Addiction
4. Other addiction
5. Fugitive of the law. 
6. Stubbornness
7. Refusal to comply with shelter rules. 
8. Others",toxic,clean
A proper decision. Force Congress to do THEIR job.,toxic,clean
But will they ?,fallacy,intentional
"Elena Kagan has published five scholarly review articles, mostly on administrative law and the First Amendment. These articles were mostly on technical and procedural issues.",claim,opinion
My wife and I refuse to purchase anything made in China because of questionable quality control.,toxic,clean
I must have missed it....did the Federal Government cough up the extra mitigation funds to cover for the property tax increase voted in by voters for the Oak Harbor school district?,toxic,clean
"New financial regulation ""actually guarantees future bailouts of Wall Street banks.""",claim,misleading
"At the 50 Milwaukee schools serving at least 80% African-American and at least 80% low income students, the reading proficiency is 8%.",claim,factual
"There was a time when people got jobs because of their demographic profile. Perhaps applications should not have data that can be grounds for positive or negative discrimination. No names, addresses, non Canadian universities, etc.",toxic,clean
"So you  openly admit that a newspaper can censor speech and expression they subjectively disagree with, politically - got it.",toxic,clean
"Mr. Andrews, how would you feel if every day you were pulled over and asked for your papers? Would that make you feel safe? 

We've seen a lot of cops improperly shooting people and planting drugs lately - how would you know that wouldn't happen to you, a nice and innocent law abiding citizen?",toxic,clean
